,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,（品目分類）第２表　１世帯当たりの品目別支出金額（総世帯）,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,(Commodity Classification) Table 2. Yearly Amount of Expenditures of Commodities per Household (Total Households) ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,単位　円,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,In  Yen,,,,
,,,,,,,項      目,,,,,,,,,,,,,,,,,Item,,,,,,,
,,,,,,,,,,,,,,,,平成21年,22,23,24,25,26,27,28,,,,,,,,
,,,,,,,,,,,,,,,,計,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000P,80*01       ,            ,01,,27,,,,,,小麦粉,,,,,566,558,559,573,511,533,540,494,,Wheat flour,,,,,,
1000P,80*01       ,            ,01,,28,,,,,,もち,,,,,"1,768","1,654","1,675","1,635","1,592","1,625","1,637","1,579",,"“Mochi”, rice-cakes",,,,,,
1000P,80*01       ,            ,01,,29,,,,,,他の穀類のその他,,,,,"1,882","1,724","1,740","1,788","1,833","2,054","2,275","2,425",,Others,,,,,,
1000P,80*01       ,            ,01,,30,,,,魚介類,,,,,,,"70,272","67,055","64,441","63,620","64,282","64,782","65,648","64,157",,Fish & shellfish,,,,,,
1000P,80*01       ,            ,01,,31,,,,,生鮮魚介,,,,,,"40,751","38,645","36,673","35,975","36,430","36,613","36,999","36,272",,Raw fish & shellfish,,,,,,
1000P,80*01       ,            ,01,,32,,,,,,鮮魚,,,,,"36,937","34,890","33,506","32,750","33,251","33,542","33,947","33,334",,Raw fish,,,,,,
1000P,80*01       ,            ,01,,33,,,,,,,まぐろ,,,,"4,631","4,507","4,302","4,156","4,273","4,530","4,539","4,499",,Tuna fish,,,,,,
1000P,80*01       ,            ,01,,34,,,,,,,あじ,,,,"1,197","1,121","1,104",997,949,980,"1,039","1,076",,Horse mackerel,,,,,,
1000P,80*01       ,            ,01,,35,,,,,,,いわし,,,,503,519,452,412,463,478,536,516,,Sardines,,,,,,
1000P,80*01       ,            ,01,,36,,,,,,,かつお,,,,"1,308","1,335","1,205","1,177","1,275","1,312","1,320","1,318",,Bonito,,,,,,
