Year,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AENROP,122.4790051,131.9940425,151.6724056,177.4155647,72.07845768,61.15707644,85.52859621,73.74155324,71.31334926,71.83225048,65.99364084,66.00208985,72.17387367,90.18478415,104.3623247,120.2843686
AROPRP,124.250865,139.3732201,169.3310239,184.0780666,78.05146543,73.50355679,84.84067487,79.22634605,77.78031934,78.84436851,75.83185893,76.74624703,80.29255766,90.67979391,101.0439808,118.7528909
